prime,target,clarity,prime_correct,prime_predicted,target_correct,target_predicted,target_prob,max_target_activation,max_winner_activation,n400_mean,n400_peak,n400_final,semantic_sim,semantic_condition,true_similarity
abuse,abuse,clear,True,abuse,True,abuse,0.001240094774402678,0.02895253896713257,0.02895253896713257,0.009406071110162884,0.021703019738197327,0.021703019738197327,0.9002255201339722,same,1.0
abuse,abuse,noisy,True,abuse,False,opening,0.0012058530701324344,0.000382728292606771,0.013576172292232513,0.01792407805006951,0.02230270951986313,0.02230270951986313,0.6003102660179138,same,1.0
account,account,clear,False,amount,False,amount,0.001246701111085713,0.03426510840654373,0.03436889499425888,0.008934112252900377,0.020866332575678825,0.020866332575678825,0.9006576538085938,same,1.0
account,account,noisy,False,amount,False,oyster,0.0012059083674103022,0.0006970660178922117,0.010400894097983837,0.017010218035429715,0.020810578018426895,0.020810578018426895,0.6017725467681885,same,1.0
adult,adult,clear,True,adult,True,adult,0.0012406522873789072,0.029397664591670036,0.029397664591670036,0.008953375043813138,0.021336805075407028,0.021336805075407028,0.8966037631034851,same,1.0
adult,adult,noisy,True,adult,False,relief,0.0012057849671691656,0.0006224493263289332,0.013948552310466766,0.016056077492423354,0.020231924951076508,0.020231924951076508,0.669348418712616,same,1.0
adverb,adverb,clear,True,adverb,True,adverb,0.0012553238775581121,0.04116377606987953,0.04116377606987953,0.009968787076883019,0.024230431765317917,0.024230431765317917,0.8892080783843994,same,1.0
adverb,adverb,noisy,True,adverb,False,childhood,0.001205737586133182,0.0005042037228122354,0.021861525252461433,0.01836023972183466,0.02404574677348137,0.02404574677348137,0.5987234711647034,same,1.0
advice,advice,clear,False,device,False,device,0.0012259786017239094,0.017501063644886017,0.020348986610770226,0.0075658966104965655,0.016641948372125626,0.016641948372125626,0.9166529774665833,same,1.0
advice,advice,noisy,False,device,False,parade,0.0012058578431606293,0.0007619743701070547,0.024757307022809982,0.017044812371023,0.022196076810359955,0.022196076810359955,0.5471999645233154,same,1.0
aerial,aerial,clear,True,aerial,True,aerial,0.0012454435927793384,0.033286046236753464,0.033286046236753464,0.011780809093732386,0.027330733835697174,0.027330733835697174,0.9048835039138794,same,1.0
aerial,aerial,noisy,True,aerial,False,scissors,0.0012058810098096728,0.0004599212552420795,0.015139955095946789,0.019085522479377687,0.02423200011253357,0.02423200011253357,0.6097303628921509,same,1.0
affair,affair,clear,True,affair,True,affair,0.0012415394885465503,0.03010837361216545,0.03010837361216545,0.009458244214998558,0.02098555862903595,0.02098555862903595,0.9225151538848877,same,1.0
affair,affair,noisy,True,affair,False,issue,0.0012058336287736893,0.0007209883769974113,0.018885403871536255,0.016810755350627007,0.021218419075012207,0.021218419075012207,0.6764814853668213,same,1.0
alert,alert,clear,False,sorrow,False,sorrow,0.001227984088473022,0.01914733648300171,0.019434040412306786,0.008884975764900447,0.01892949268221855,0.01892949268221855,0.9238035678863525,same,1.0
alert,alert,noisy,False,sorrow,False,autumn,0.0012058798456564546,0.00048453209456056356,0.022565558552742004,0.01923225063830614,0.02524803765118122,0.02524803765118122,0.5684354901313782,same,1.0
alien,alien,clear,False,flicker,False,flicker,0.001240044366568327,0.02892184630036354,0.029430463910102844,0.010593841793015599,0.025979816913604736,0.025979816913604736,0.8862192630767822,same,1.0
alien,alien,noisy,False,flicker,False,atom,0.0012059384025633335,0.0002607386268209666,0.014751536771655083,0.01811755437310785,0.02184199169278145,0.02184199169278145,0.5689288377761841,same,1.0
alley,alley,clear,True,alley,True,alley,0.001293147448450327,0.07084103673696518,0.07084103673696518,0.019556393928360193,0.046027593314647675,0.046027593314647675,0.9386847019195557,same,1.0
alley,alley,noisy,True,alley,False,express,0.001207649940624833,0.0018422879511490464,0.0166806448251009,0.022685441924259066,0.029036812484264374,0.029036812484264374,0.6132197976112366,same,1.0
amount,amount,clear,True,amount,True,amount,0.001264585880562663,0.04850196838378906,0.04850196838378906,0.010206959859002381,0.024393323808908463,0.024393323808908463,0.89926677942276,same,1.0
amount,amount,noisy,True,amount,False,treatment,0.0012058323482051492,0.0006812242791056633,0.0136587955057621,0.017654722424224018,0.021723322570323944,0.021723322570323944,0.6266266107559204,same,1.0
anchor,anchor,clear,True,anchor,True,anchor,0.001263586338609457,0.0477105975151062,0.0477105975151062,0.012332398144062609,0.029190797358751297,0.029190797358751297,0.8994594812393188,same,1.0
anchor,anchor,noisy,True,anchor,False,other,0.0012058542342856526,0.0006351597257889807,0.012881916016340256,0.019357878943905234,0.025310609489679337,0.025310609489679337,0.5440838932991028,same,1.0
angel,angel,clear,True,angel,True,angel,0.0013193308841437101,0.0908391922712326,0.0908391922712326,0.015492628344800323,0.03876002877950668,0.03876002877950668,0.8914649486541748,same,1.0
angel,angel,noisy,True,angel,False,kernel,0.0012110130628570914,0.004252637270838022,0.01626976951956749,0.01745460591558367,0.02196170762181282,0.02196170762181282,0.6494801640510559,same,1.0
anger,anger,clear,True,anger,True,anger,0.0013126343255862594,0.0857425257563591,0.0857425257563591,0.013582217891700566,0.032841965556144714,0.032841965556144714,0.8970349431037903,same,1.0
anger,anger,noisy,True,anger,False,chimney,0.0012058025458827615,0.00021126058709342033,0.01796761155128479,0.020828599671833217,0.029086891561746597,0.029086891561746597,0.4904969036579132,same,1.0
angle,angle,clear,True,angle,True,angle,0.001274972571991384,0.0566604882478714,0.0566604882478714,0.0107960540689528,0.026813697069883347,0.026813697069883347,0.8775982856750488,same,1.0
angle,angle,noisy,True,angle,False,disgrace,0.0012058962602168322,0.00030293589225038886,0.018634527921676636,0.01733790771942586,0.02168949693441391,0.02168949693441391,0.5806663632392883,same,1.0
ankle,ankle,clear,True,ankle,True,ankle,0.0012443308951333165,0.03235943987965584,0.03235943987965584,0.009865615533199161,0.023748742416501045,0.023748742416501045,0.8831760287284851,same,1.0
ankle,ankle,noisy,True,ankle,False,chimney,0.001208399306051433,0.0024695361498743296,0.01710646227002144,0.019353938003070652,0.024537688121199608,0.024537688121199608,0.5258127450942993,same,1.0
answer,answer,clear,True,answer,True,answer,0.001268806983716786,0.05183357372879982,0.05183357372879982,0.010228527897968888,0.024146689102053642,0.024146689102053642,0.9067416787147522,same,1.0
