word,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
abuse,"a-child-cowering-behind-their-mother,-with-a-stranger-looming-in-the-background",a-police-officer-taking-notes-in-a-crime-scene,a-scene-of-a-domestic-dispute-with-furniture-overturned,a-person-being-escorted-away-in-handcuffs-by-police,"a-person's-voice-muffled,-as-if-speaking-in-a-hushed-tone",a-doctor-examining-a-patient-with-a-visible-injury,"a-person's-voice-raised-in-anger,-shouting-at-someone","a-battered-woman-with-a-swollen-face,-standing-outside-a-shelter","a-person-being-yelled-at-by-a-loud,-angry-voice","a-child-hiding-behind-a-couch,-crying",a-dark-room-with-a-faint-sound-of-arguing-in-the-background,a-torn-and-crumpled-wedding-ring-on-a-dusty-floor,"a-courtroom-with-a-judge's-bench,-surrounded-by-lawyers-and-a-defendant",a-person-being-yelled-at-by-someone-in-a-crowded-street,"a-person's-eyes-red-and-puffy,-indicating-crying",a-nurse-documenting-injuries-on-a-patient's-chart,"a-person's-eyes-cast-downward,-avoiding-eye-contact","a-child's-drawing-of-a-sad,-broken-family",a-bruise-on-a-child's-cheek-with-tears-streaming-down-their-face,a-bruised-and-swollen-face-in-a-hospital-emergency-room,"a-child-clutching-a-stuffed-animal-tightly,-looking-scared",a-victim's-hand-with-a-visible-burn-or-scorch-mark,a-security-camera-mounted-in-a-dimly-lit-alleyway,a-victim's-voice-shaking-as-they-report-an-incident,"a-hand-grasping-a-person's-arm-tightly,-restricting-movement"
account,a-person-organizing-financial-documents-in-a-filing-cabinet,"a-person-holding-a-receipt-for-a-purchase,-checking-their-balance-in-a-wallet","a-stack-of-bills-and-invoices-to-be-paid,-on-a-kitchen-table",a-person-using-a-credit-card-to-make-a-purchase-at-a-store,a-folder-labeled-'bills-to-pay'-on-a-file-organizer,a-receipt-printer-at-a-retail-checkout,a-person-using-a-check-to-pay-a-bill,a-person-reviewing-a-statement-on-a-piece-of-paper-at-a-desk,a-row-of-filing-cabinets-with-hanging-files-in-a-quiet-office,a-person-reviewing-a-credit-report-on-a-computer-screen,a-person-holding-a-check-and-smiling-at-a-friend,"a-secure,-locked-safe-in-a-home-office,-containing-important-documents","a-person-sitting-at-a-desk,-typing-on-a-computer-with-a-laptop-open-to-a-spreadsheet","a-secure-online-portal-login-screen,-asking-for-a-username-and-password",a-stack-of-paper-bills-and-receipts-on-a-cluttered-desk,a-piggy-bank-filled-with-coins-and-bills-on-a-dresser,a-person-using-a-credit-card-to-make-a-purchase-online,"a-bank-branch,-with-a-long-line-of-customers-waiting-to-be-served","a-person-sitting-at-a-computer,-staring-at-a-screen-displaying-their-online-banking-account","a-secure,-encrypted-email-message,-containing-account-information",a-stack-of-checks-in-a-checkbook,a-stack-of-invoices-and-receipts-on-a-cluttered-office-floor,a-person-receiving-a-paycheck-and-smiling,a-briefcase-or-portfolio-with-various-documents-and-business-cards,a-financial-advisor-explaining-investment-options-to-a-client-in-a-conference-room
adult,a-man-in-a-suit-shaking-hands-with-another-person-in-a-formal-meeting,a-person-in-their-late-twenties-working-out-at-the-gym,a-woman-in-a-fitness-class-jumping-rope-with-other-participants,"a-young-adult-with-a-camera,-taking-photos-in-a-city-street",a-person-in-a-uniform-riding-on-a-bus-driving-down-a-city-street,a-group-of-friends-in-their-mid-twenties-laughing-and-taking-a-selfie,a-man-holding-a-briefcase-and-walking-towards-a-crowded-office-building,a-woman-in-a-business-suit-giving-a-presentation-to-a-crowd,a-woman-in-a-business-suit-presenting-a-slide-show-to-a-conference-room,a-person-wearing-a-sports-jersey-and-holding-a-trophy-on-a-stage,a-person-wearing-a-suit-and-tie-at-a-wedding,a-couple-in-their-thirties-on-a-hot-air-balloon-ride,a-person-in-their-sixties-walking-a-bicycle-down-a-quiet-street,a-person-in-a-business-suit-walking-into-a-skyscraper-office-building,a-group-of-coworkers-laughing-and-high-fiving-in-a-conference-room,a-woman-in-a-yoga-outfit-practicing-downward-facing-dog-on-a-mat,a-person-in-a-suit-and-tie-shaking-hands-with-a-colleague,a-person-in-a-business-suit-sitting-at-a-desk-with-a-computer,a-person-in-a-police-uniform-standing-next-to-a-patrol-car,"a-young-adult-with-a-backpack,-standing-in-front-of-a-university-library",a-woman-holding-a-paintbrush-in-an-art-studio,a-man-wearing-a-chef's-hat-in-a-professional-kitchen,a-person-with-gray-hair-and-wrinkles-standing-in-front-of-a-mirror,a-person-wearing-a-hard-hat-on-a-construction-site,a-group-of-adults-attending-a-concert-in-a-music-venue
adverb,a-chef-slowly-cooking-a-delicate-sauce-in-a-saucepan,a-driver-speeding-down-a-highway-with-cars-passing-by,a-person-moving-stealthily-through-a-dark-forest-at-night,a-person-quietly-reading-a-book-in-a-quiet-café,a-chef-moving-swiftly-around-a-bustling-kitchen,a-musician-performing-loudly-on-a-large-stage,a-chef-rapidly-chopping-vegetables-in-a-commercial-kitchen,a-person-eagerly-waiting-in-line-for-a-concert,a-musician-loudly-playing-a-energetic-song-on-a-guitar,a-musician-loudly-playing-a-guitar-at-a-rock-concert,a-child-eagerly-unwrapping-a-birthday-present,a-librarian-shelving-books-carefully-in-a-quiet-library,a-hiker-taking-a-moment-to-admire-a-breathtaking-view,a-chef-chopping-vegetables-rapidly-in-a-commercial-kitchen,a-person-rapidly-typing-on-a-keyboard-during-a-deadline,a-person-working-meticulously-on-a-puzzle-in-a-quiet-room,a-person-speaking-clearly-and-confidently-in-a-presentation,a-chef-plating-dishes-beautifully-in-a-fine-dining-restaurant,a-chef-seasoning-dishes-carefully-in-a-modern-restaurant,a-runner-stretching-slowly-after-a-long-marathon,a-gardener-carefully-watering-a-fragile-seedling,a-musician-playing-gently-on-a-violin,a-musician-slowly-playing-a-mournful-melody-on-a-piano,a-chef-carefully-plating-a-delicate-dish-for-a-restaurant,a-person-walking-quickly-through-a-busy-city-street
advice,a-teacher-offering-feedback-on-a-student's-artwork-in-a-classroom,a-person-talking-to-a-financial-advisor-about-investments,a-priest-offering-spiritual-guidance-to-a-parishioner-in-a-church,a-sign-on-a-bulletin-board-with-inspirational-quotes,"a-person-sitting-at-a-desk,-pen-in-hand,-writing-on-a-notepad",a-group-of-coworkers-discussing-a-project-plan-in-a-conference-room,a-teacher-giving-a-lesson-to-a-classroom-of-students,a-person-taking-notes-during-a-conference-or-lecture,a-person-reviewing-their-budget-on-a-spreadsheet-with-a-calculator-nearby,a-friend-offering-words-of-encouragement-after-a-setback,a-person-reflecting-on-their-journal-entries-and-gaining-insights,a-person-seeking-career-advice-from-a-professional-counselor,a-newspaper-with-a-personal-finance-section-and-a-calculator-nearby,a-person-conferring-with-a-trusted-friend-in-a-coffee-shop,a-person-studying-a-recipe-in-a-cookbook-while-cooking-in-a-kitchen,"a-person-looking-at-a-map,-getting-directions-from-a-stranger",a-coach-giving-a-pep-talk-to-a-team-of-athletes-before-a-game,a-doctor-explaining-a-medical-condition-to-a-patient,a-life-coach-helping-someone-set-goals-on-a-vision-board,a-person-seeking-guidance-from-a-spiritual-leader-in-a-peaceful-temple,a-person-getting-a-reading-from-a-psychic-in-a-dimly-lit-room,a-wise-old-man-speaking-with-a-younger-person-in-a-quiet-library,a-career-counselor-helping-someone-with-a-job-search-in-a-office,a-person-researching-online-and-taking-notes-on-a-laptop,a-person-pouring-over-a-map-while-planning-a-road-trip-with-friends
aerial,a-hot-air-balloon-floating-above-a-vineyard,a-weather-radar-image-with-swirling-clouds-and-precipitation,a-satellite-orbiting-the-earth-in-space,a-model-rocket-launching-into-the-air-from-a-pad,a-helicopter-hovering-above-a-bustling-city-skyline,a-kite-flying-high-in-the-air-with-a-long-string,"a-kite-dancing-in-the-air,-its-string-held-by-a-child",a-helicopter-landing-on-a-rooftop-in-a-city,a-person-looking-at-a-tablet-with-a-satellite-view-of-the-earth,a-glider-aircraft-flying-alongside-a-lake-with-trees-and-hills-in-the-background,a-seagull-flying-alongside-a-boat-in-the-open-ocean,"a-skydiver-free-falling-through-a-layer-of-white,-fluffy-clouds",a-drone-flying-above-a-desert-landscape-with-sand-dunes-stretching-far,"a-person-holding-a-pair-of-binoculars,-scanning-the-horizon-for-birds",an-airplane-soaring-through-a-clear-blue-sky,"a-model-airplane-flying-around-a-circular,-indoor-track",a-person-operating-a-remote-controlled-airplane-in-an-open-field,"a-pilot's-hands-on-a-control-yoke,-scanning-the-instrument-panel",a-plane-taking-off-from-a-runway-at-sunset,a-person-sitting-in-a-small-propeller-plane-with-a-view-of-the-countryside,a-hang-glider-swooping-down-from-a-mountain,a-bird's-eye-view-of-a-city-or-landscape-from-above,a-person-bungee-jumping-off-a-bridge-and-flying-towards-the-water-below,a-seagull-flying-alongside-a-sailboat-in-the-ocean,a-drone-hovering-near-a-beach-with-surfers-in-the-water
affair,a-hidden-safe-in-a-bedroom-with-a-combination-lock,a-private-message-sent-through-a-secure-messaging-app,a-secretive-glance-exchanged-between-two-coworkers-in-a-busy-office,a-suspicious-transaction-on-a-credit-card-statement,"a-person's-conflicted-emotions,-torn-between-love-and-loyalty","a-man's-guilty-expression,-caught-in-a-lie",a-person-trying-to-explain-themselves-to-a-concerned-partner,a-suspicious-conversation-in-a-parked-car,a-romantic-getaway-to-a-secluded-cabin,a-guilty-expression-on-someone's-face-in-a-dark-alley,a-hidden-email-account-or-secret-social-media-profile-on-a-smartphone,a-secret-meeting-in-a-secluded-parking-garage-at-night,a-person-checking-their-phone-for-messages-while-pretending-to-do-something-else,"a-person's-desperate-attempt-to-cover-their-tracks,-shredding-documents",a-furtive-glance-exchanged-between-two-people-in-a-public-restroom,a-couple-sneaking-out-of-a-hotel-at-dawn,a-suspicious-person-lurking-around-a-building-or-home,a-husband-or-wife-looking-upset-or-suspicious-at-home,a-spouse-or-partner-questioning-someone-about-their-whereabouts,a-person-feeling-guilty-and-anxious-in-their-bedroom,"a-couple-holding-hands,-trying-to-be-discreet-in-a-crowded-restaurant",a-hidden-key-or-spare-key-in-a-secret-location,a-stolen-moment-of-intimacy-in-a-public-restroom,a-luxurious-hotel-room-with-a-king-sized-bed-and-a-city-view,"a-woman-secretly-meeting-a-man-in-a-coffee-shop,-both-glancing-at-their-watches"
alert,a-person-rushing-to-answer-a-ringing-phone,a-person-shouting-into-a-walkie-talkie-in-a-busy-construction-site,a-person-holding-a-megaphone-to-get-attention-in-a-crowded-area,a-flashing-blue-light-on-a-police-car-parked-on-the-side-of-the-road,a-smartphone-notification-buzzing-with-a-red-warning-message-on-the-screen,a-person-wearing-a-headset-with-a-bright-red-'alert'-light,a-warning-sign-posted-on-a-hazardous-waste-site,a-flashing-red-light-on-top-of-a-police-car,a-person-shouting-to-get-someone's-attention-across-a-crowded-room,a-person-shouting-'fire!'-in-a-crowded-theater,a-fire-alarm-ringing-in-a-high-rise-office-building,a-person-typing-quickly-on-a-computer-keyboard-with-a-sense-of-urgency,a-warning-sign-posted-on-a-rocky-cliffside,a-person-shouting-to-get-attention-in-a-noisy-environment,a-warning-message-on-a-smartphone-screen-with-a-red-exclamation-mark,a-flashing-red-light-on-a-smoke-detector-in-a-kitchen,a-person-holding-a-bullhorn-at-a-loud-concert,a-person-quickly-checking-their-watch-for-a-scheduled-appointment,a-news-headline-on-a-tv-screen-with-a-breaking-news-alert,a-bright-orange-safety-cone-in-the-middle-of-a-construction-site,a-news-anchor-interrupting-a-broadcast-to-deliver-breaking-news,a-person-wearing-a-reflective-vest-and-holding-a-stop-sign,a-person-holding-a-megaphone-at-a-protest-rally,a-news-ticker-scrolling-on-a-digital-screen,a-warning-light-on-a-car's-dashboard-with-a-red-icon-and-a-beeping-sound
alien,"a-group-of-aliens-in-a-crowded,-market-like-setting-on-a-foreign-planet",a-ufo-landing-on-a-grassy-field-in-a-rural-area,"a-group-of-people-in-a-crowded,-noisy-spaceport","a-person-in-a-hazmat-suit-examining-a-strange,-pulsating-creature","a-desolate,-barren-landscape-on-a-distant-planet-with-twisted-rock-formations","a-person-in-a-spaceship's-cargo-bay,-surrounded-by-strange,-exotic-plants","a-close-up-view-of-a-being's-sharp,-pointed-teeth-and-fleshy,-red-lips","a-group-of-people-in-a-spaceship's-observation-deck,-staring-out-at-a-beautiful-nebula",a-group-of-people-in-white-lab-coats-examining-a-specimen-under-a-microscope,a-cityscape-on-a-distant-planet-with-towering-skyscrapers-and-strange-architecture,"a-close-up-view-of-an-alien's-long,-slender-fingers-holding-a-strange-device","a-collection-of-strange,-otherworldly-rocks-on-a-laboratory-counter","a-close-up-view-of-a-being's-large,-black-eyes-and-pale,-scaly-skin","a-strange,-pulsating-light-emanating-from-an-alien's-eyes",a-group-of-people-in-black-suits-and-sunglasses-examining-a-crashed-ufo,"a-massive,-towering-structure-on-a-distant,-barren-planet","a-close-up-view-of-a-being's-strange,-bioluminescent-markings-on-its-skin","a-being's-body-with-multiple-limbs-and-a-long,-slender-torso","a-spaceship-navigating-through-a-swirling,-purple-nebula","a-dark,-foggy-forest-with-eerie,-glowing-plants",a-spaceship's-control-panel-with-flashing-lights-and-strange-instruments,"a-group-of-people-in-a-spaceship's-mess-hall-eating-strange,-alien-cuisine","a-being's-face-with-a-large,-round-mouth-and-multiple,-tiny-eyes","a-pair-of-binoculars-focused-on-a-distant,-moonlit-planet","a-mysterious,-glowing-portal-leading-to-another-dimension"
alley,a-fire-escape-ladder-leading-up-the-side-of-a-building,a-narrow-passageway-between-two-rows-of-tall-brick-buildings,a-fire-escape-ladder-leading-up-to-a-second-story-window,a-streetlight-casting-a-shadow-on-the-wall-of-a-building,"a-narrow,-dimly-lit-passageway-between-two-rows-of-brick-buildings",a-graffiti-covered-wall-with-colorful-murals-and-tags,a-broken-glass-bottle-lying-on-the-ground,a-dumpster-with-a-trash-can-lid-open-on-the-sidewalk,a-row-of-trash-cans-lined-up-on-the-curb,"a-person-walking-a-small-dog-through-the-alley,-keeping-it-on-a-leash",a-person-taking-a-shortcut-through-the-alley-to-avoid-traffic,a-person-taking-a-shortcut-through-the-alley-to-get-to-the-main-street,a-dumpster-overflowing-with-trash-in-the-center-of-a-deserted-alley,a-pile-of-crates-and-boxes-stacked-haphazardly-on-the-ground,a-bright-red-fire-extinguisher-mounted-on-the-wall,a-pile-of-boxes-and-crates-stacked-haphazardly-on-the-ground,a-person-fixing-a-car-engine-in-a-makeshift-garage-in-the-alley,a-fire-escape-ladder-leading-up-to-a-third-story-apartment-window,"a-narrow,-dimly-lit-passageway-between-two-rows-of-tall-buildings",a-group-of-pigeons-pecking-at-crumbs-on-the-ground,"a-cat-exploring-the-top-of-a-dumpster,-looking-for-scraps",a-skateboarder-performing-a-trick-on-a-set-of-concrete-stairs,"a-bicycle-leaning-against-a-brick-wall,-locked-with-a-chain","a-row-of-dumpsters-lined-up-against-one-side-of-the-alley,-waiting-to-be-emptied",a-puddle-of-water-reflecting-the-streetlights-above
amount,a-box-of-assorted-notecards-with-numbers-written-on-them,"a-handful-of-loose,-shiny-marbles-scattered-on-a-carpet",a-calculator-with-a-complex-mathematical-equation-on-its-screen,a-vending-machine-with-coins-being-inserted,a-set-of-measuring-cups-filled-with-different-liquids-on-a-kitchen-counter,a-person-counting-a-large-pile-of-money,a-person-holding-a-large-shopping-bag-with-a-'50%-off'-sticker,a-person-counting-a-stack-of-papers-on-a-desk,a-shopping-cart-overflowing-with-items-in-a-crowded-supermarket,a-row-of-identical-bottles-filled-with-water-on-a-grocery-store-shelf,a-set-of-measuring-cups-stacked-in-a-cabinet,a-bank-of-digital-screens-showing-countdown-timers,a-set-of-identical-coins-laid-out-in-a-row,"a-row-of-evenly-spaced,-identical-looking-light-bulbs-in-a-ceiling-fixture",a-person-using-a-tape-measure-to-take-a-room's-dimensions,"a-display-of-neatly-stacked,-identical-looking-boxes-of-cookies-on-a-shelf",a-line-of-people-waiting-at-a-ticket-counter-to-buy-event-tickets,a-meter-stick-with-equally-spaced-markings-along-its-length,a-stack-of-invoices-on-a-desk,a-set-of-measuring-spoons-arranged-in-order-of-increasing-size,a-list-of-numbers-on-a-spreadsheet,a-grocery-cart-filled-with-items-having-price-tags-attached,"a-row-of-evenly-spaced,-identical-looking-books-on-a-bookshelf",a-ruler-lying-flat-on-a-workbench-with-various-measurements-marked,a-digital-display-on-a-cash-register-showing-a-dollar-amount
anchor,a-person-holding-a-small-anchor-shaped-keychain,a-sailboat-with-an-anchor-deployed-in-calm-waters,a-person-studying-a-detailed-diagram-of-an-anchor's-internal-mechanism,a-person-using-a-anchor-to-stabilize-a-boat-in-rough-waters,a-large-anchor-displayed-as-a-museum-exhibit,a-ship's-anchor-being-lowered-into-the-water-to-mark-a-buoy,a-diver-swimming-near-a-sunken-ship-with-anchors-still-attached,a-collection-of-old-anchors-on-display-in-a-maritime-museum,a-ship's-anchor-being-lifted-out-of-the-water-by-a-winch,a-scene-of-a-ship-being-moored-to-a-dock-with-an-anchor-being-dropped,a-beachcomber-discovering-a-old-anchor-buried-in-the-sand,a-collection-of-antique-anchors-on-display-in-a-museum,a-person-lowering-an-anchor-into-the-water-from-a-sailboat,a-person-fixing-a-broken-anchor-on-a-sailboat,a-group-of-people-gathered-around-a-large-anchor-on-display,a-sailor-inspecting-an-anchor's-chain-and-hook,a-small-anchor-used-as-a-figurine-on-a-shelf,"a-large,-rusty-anchor-lying-on-a-sandy-beach",a-person-using-a-winch-to-lift-a-heavy-anchor-onto-a-ship's-deck,a-ship's-anchor-symbol-on-a-navigation-map,a-rusty-anchor-lying-on-a-beach-near-the-water's-edge,a-nautical-chart-with-an-anchor-symbol-marked-on-it,a-picture-of-a-ship's-wheel-with-an-anchor-symbol-on-the-face,a-boat's-wheel-with-an-anchor-icon-on-the-control-panel,a-person-holding-a-small-anchor-shaped-charm
angel,a-stained-glass-window-depicting-a-haloed-figure-in-a-heavenly-setting,"a-painting-of-an-angel-standing-on-the-edge-of-a-cliff,-overlooking-a-valley","a-delicate,-intricately-carved-wooden-statue-of-a-cherub-on-a-nightstand",a-group-of-people-singing-hymns-in-a-crowded-church-pew,a-stained-glass-window-depicting-a-harp-playing-angel-in-a-church,"a-person-meditating-in-a-peaceful,-serene-outdoor-environment-with-a-bird-nearby",a-renaissance-style-painting-of-a-winged-angel-in-a-grand-cathedral,a-winged-figure-in-a-flowing-white-gown-standing-on-the-edge-of-a-cliff,a-cherub-statue-with-a-chubby-face-and-wings-on-a-garden-bench,"a-heavenly-choir-of-angels-singing-in-a-grand,-candlelit-cathedral",a-statue-of-an-angel-standing-atop-a-church-steeple,a-depiction-of-the-archangel-michael-with-a-sword-and-a-red-cape,"a-photograph-of-a-person-in-a-white-robe,-standing-on-a-mountaintop,-with-a-sunrise-in-the-background",a-set-of-harps-hanging-on-a-wall-in-a-church-music-room,a-cherub-with-a-trumpet-blowing-a-joyful-tune-in-a-garden,a-stained-glass-window-depicting-an-angel-with-outstretched-arms,a-painting-of-a-female-angel-playing-a-harp-in-a-heavenly-setting,"a-painting-of-a-winged-angel-in-a-renaissance-style-frame,-hanging-in-a-gallery",a-set-of-wings-made-of-feathers-attached-to-a-person's-back-for-a-theatrical-performance,"a-painting-of-a-winged-angel-in-a-medieval-style-setting,-with-a-castle-in-the-background","a-group-of-children-playing-with-toy-angel-figurines,-in-a-daycare-setting",a-figure-with-wings-and-a-halo-standing-in-a-cloudy-sky,"a-halo-of-light-surrounding-a-person's-head,-symbolizing-divine-intervention",a-painting-of-a-winged-figure-in-a-renaissance-art-gallery,a-christmas-decoration-featuring-a-pair-of-angelic-figures-in-a-snowy-scene
anger,a-clenched-fist-raised-in-the-air,"a-dark,-stormy-sky-with-thunderclouds-and-a-strong-gust-of-wind",a-stormy-weather-scene-with-dark-clouds-and-thunder,a-person-throwing-a-punch-at-a-punching-dummy-in-a-martial-arts-dojo,a-car's-horn-blaring-loudly-in-a-busy-intersection,"a-loud,-crashing-sound-effect-during-a-action-movie-trailer",a-person's-body-language-tense-and-aggressive-during-a-confrontation,a-scowling-face-with-a-furrowed-brow-and-red-cheeks-in-a-crowded-city-street,"a-dark,-foreboding-thunderstorm-approaching-a-small-town",a-person's-voice-raised-and-loud-during-a-heated-debate-in-a-living-room,a-person-yelling-at-a-referee-during-a-heated-sports-game,a-car's-tires-screeching-as-it-swerves-to-avoid-a-collision,a-person's-voice-rising-in-a-heated-debate-at-a-town-hall-meeting,a-person's-face-twisted-in-a-snarl-as-they-glare-at-someone-across-the-room,a-person-shouting-at-a-friend-or-family-member-in-a-heated-argument-at-home,"a-burning,-fiery-explosion-on-a-movie-screen-during-an-action-scene",a-stormy-weather-forecast-with-dark-clouds-and-strong-winds-on-a-tv-screen,"a-dark,-foreboding-mountain-range-with-a-thunderstorm-brewing","a-loud,-intense-thunderstorm-with-lightning-illuminating-the-dark-sky",a-red-faced-driver-honking-their-car-horn-at-another-driver-in-a-traffic-jam,"a-burning,-charred-piece-of-wood-on-a-campfire",a-speeding-car-weaving-through-traffic-on-a-busy-highway,a-person-yelling-at-a-customer-service-representative-on-the-phone-in-a-call-center,a-person's-eyes-flashing-with-irritation-as-they-type-on-a-keyboard,a-raised-voice-shouting-at-someone-on-a-busy-street
